"gene_id","gene_symbol","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000188042.8","ARL4C","10123",464.697238259876,0.585969224722929,0.125062830169029,5.04399926959055,4.55901038702289e-07,4.06960109392323e-06
"ENSG00000085511.20","MAP3K4","4216",1100.35212056256,0.420575973019954,0.0875720324647871,5.04363075247949,4.5678037864043e-07,4.07534113297096e-06
"ENSG00000136935.14","GOLGA1","2800",1367.36133461923,-0.36727919239504,0.0758305126914325,-5.0427231502107,4.58953042796809e-07,4.09260815722532e-06
"ENSG00000108506.14","INTS2","57508",2762.62311244898,0.302988826590249,0.061882987457312,5.04013623733075,4.65200562649071e-07,4.14403352450717e-06
"ENSG00000105669.14","COPE","11316",3142.22112600859,-0.300061495353203,0.0613419235130613,-5.04020279591389,4.65038797216145e-07,4.14403352450717e-06
"ENSG00000107159.14","CA9","768",10.4513208981456,7.10096056179223,2.62219712072907,5.03840638140876,4.69423929766875e-07,4.17949669218354e-06
"ENSG00000244242.2","IFITM10","402778",78.4207172059453,1.28294371401888,0.286519348927454,5.03689520001282,4.7314365761579e-07,4.21044144439727e-06
"ENSG00000272455.1",NA,NA,189.510656710931,0.82112722036723,0.179700419034727,5.03481897904781,4.78300604241076e-07,4.25173402646338e-06
"ENSG00000134013.16","LOXL2","4017",1284.6169976163,-0.476112917484739,0.100306689444037,-5.03472973969883,4.78523468941518e-07,4.25173402646338e-06
"ENSG00000136451.9","VEZF1","7716",2480.03950648757,0.300605930310977,0.0614196831827227,5.03476016125752,4.78447483453678e-07,4.25173402646338e-06
"ENSG00000181085.15","MAPK15","225689",234.994103170678,0.751926366569864,0.163683695234047,5.03440004369863,4.79347714513374e-07,4.25566069203277e-06
"ENSG00000105701.16","FKBP8","23770",8499.55994228765,-0.199180192614804,0.0401548452949678,-5.03435559926356,4.79458931034424e-07,4.25566069203277e-06
"ENSG00000112972.15","HMGCS1","3157",5264.04205599313,-0.244995048266338,0.0496341238927799,-5.03356758541437,4.81434972461783e-07,4.26880593063028e-06
"ENSG00000108064.11","TFAM","7019",4197.12006427212,0.250536582056531,0.0507684453137919,5.03360955196652,4.81329538458991e-07,4.26880593063028e-06
